"Value","Category","Proportion","Participants","Background characteristics"
"15-19","Heard of ARVs that treat HIV",82,"Women","Age"
"15-19","Know risk of MTCT reduced by mother's special drugs",60,"Women","Age"
"15-19","Heard of PrEP",31,"Women","Age"
"15-19","Approve of people taking PrEP",65,"Women","Age"
"20-24","Heard of ARVs that treat HIV",93,"Women","Age"
"20-24","Know risk of MTCT reduced by mother's special drugs",73,"Women","Age"
"20-24","Heard of PrEP",52,"Women","Age"
"20-24","Approve of people taking PrEP",70,"Women","Age"
"25-29","Heard of ARVs that treat HIV",95,"Women","Age"
"25-29","Know risk of MTCT reduced by mother's special drugs",81,"Women","Age"
"25-29","Heard of PrEP",57,"Women","Age"
"25-29","Approve of people taking PrEP",68,"Women","Age"
"30-39","Heard of ARVs that treat HIV",95,"Women","Age"
"30-39","Know risk of MTCT reduced by mother's special drugs",83,"Women","Age"
"30-39","Heard of PrEP",53,"Women","Age"
"30-39","Approve of people taking PrEP",73,"Women","Age"
"40-49","Heard of ARVs that treat HIV",96,"Women","Age"
"40-49","Know risk of MTCT reduced by mother's special drugs",80,"Women","Age"
"40-49","Heard of PrEP",46,"Women","Age"
"40-49","Approve of people taking PrEP",74,"Women","Age"
"15-19","Heard of ARVs that treat HIV",80,"Men","Age"
"15-19","Know risk of MTCT reduced by mother's special drugs",54,"Men","Age"
"15-19","Heard of PrEP",26,"Men","Age"
"15-19","Approve of people taking PrEP",57,"Men","Age"
"20-24","Heard of ARVs that treat HIV",95,"Men","Age"
"20-24","Know risk of MTCT reduced by mother's special drugs",68,"Men","Age"
"20-24","Heard of PrEP",50,"Men","Age"
"20-24","Approve of people taking PrEP",62,"Men","Age"
"25-29","Heard of ARVs that treat HIV",98,"Men","Age"
"25-29","Know risk of MTCT reduced by mother's special drugs",77,"Men","Age"
"25-29","Heard of PrEP",61,"Men","Age"
"25-29","Approve of people taking PrEP",63,"Men","Age"
"30-39","Heard of ARVs that treat HIV",97,"Men","Age"
"30-39","Know risk of MTCT reduced by mother's special drugs",81,"Men","Age"
"30-39","Heard of PrEP",59,"Men","Age"
"30-39","Approve of people taking PrEP",65,"Men","Age"
"40-49","Heard of ARVs that treat HIV",96,"Men","Age"
"40-49","Know risk of MTCT reduced by mother's special drugs",82,"Men","Age"
"40-49","Heard of PrEP",53,"Men","Age"
"40-49","Approve of people taking PrEP",61,"Men","Age"
"50-54","Heard of ARVs that treat HIV",96,"Men","Age"
"50-54","Know risk of MTCT reduced by mother's special drugs",82,"Men","Age"
"50-54","Heard of PrEP",50,"Men","Age"
"50-54","Approve of people taking PrEP",66,"Men","Age"
"Never married","Heard of ARVs that treat HIV",88,"Women","Marital status"
"Never married","Know risk of MTCT reduced by mother's special drugs",67,"Women","Marital status"
"Never married","Heard of PrEP",44,"Women","Marital status"
"Never married","Approve of people taking PrEP",67,"Women","Marital status"
"Ever had sex","Heard of ARVs that treat HIV",94,"Women","Marital status"
"Ever had sex","Know risk of MTCT reduced by mother's special drugs",74,"Women","Marital status"
"Ever had sex","Heard of PrEP",56,"Women","Marital status"
"Ever had sex","Approve of people taking PrEP",68,"Women","Marital status"
"Never had sex","Heard of ARVs that treat HIV",82,"Women","Marital status"
"Never had sex","Know risk of MTCT reduced by mother's special drugs",59,"Women","Marital status"
"Never had sex","Heard of PrEP",32,"Women","Marital status"
"Never had sex","Approve of people taking PrEP",66,"Women","Marital status"
"Married/Living together","Heard of ARVs that treat HIV",94,"Women","Marital status"
"Married/Living together","Know risk of MTCT reduced by mother's special drugs",80,"Women","Marital status"
"Married/Living together","Heard of PrEP",50,"Women","Marital status"
"Married/Living together","Approve of people taking PrEP",72,"Women","Marital status"
"Divorced/Separated/Widowed","Heard of ARVs that treat HIV",95,"Women","Marital status"
"Divorced/Separated/Widowed","Know risk of MTCT reduced by mother's special drugs",81,"Women","Marital status"
"Divorced/Separated/Widowed","Heard of PrEP",52,"Women","Marital status"
"Divorced/Separated/Widowed","Approve of people taking PrEP",72,"Women","Marital status"
"Never married","Heard of ARVs that treat HIV",88,"Men","Marital status"
"Never married","Know risk of MTCT reduced by mother's special drugs",63,"Men","Marital status"
"Never married","Heard of PrEP",41,"Men","Marital status"
"Never married","Approve of people taking PrEP",63,"Men","Marital status"
"Ever had sex","Heard of ARVs that treat HIV",94,"Men","Marital status"
"Ever had sex","Know risk of MTCT reduced by mother's special drugs",70,"Men","Marital status"
"Ever had sex","Heard of PrEP",50,"Men","Marital status"
"Ever had sex","Approve of people taking PrEP",63,"Men","Marital status"
"Never had sex","Heard of ARVs that treat HIV",77,"Men","Marital status"
"Never had sex","Know risk of MTCT reduced by mother's special drugs",48,"Men","Marital status"
"Never had sex","Heard of PrEP",24,"Men","Marital status"
"Never had sex","Approve of people taking PrEP",63,"Men","Marital status"
"Married/Living together","Heard of ARVs that treat HIV",97,"Men","Marital status"
"Married/Living together","Know risk of MTCT reduced by mother's special drugs",81,"Men","Marital status"
"Married/Living together","Heard of PrEP",57,"Men","Marital status"
"Married/Living together","Approve of people taking PrEP",62,"Men","Marital status"
"Divorced/Separated/Widowed","Heard of ARVs that treat HIV",96,"Men","Marital status"
"Divorced/Separated/Widowed","Know risk of MTCT reduced by mother's special drugs",77,"Men","Marital status"
"Divorced/Separated/Widowed","Heard of PrEP",50,"Men","Marital status"
"Divorced/Separated/Widowed","Approve of people taking PrEP",61,"Men","Marital status"
"Urban","Heard of ARVs that treat HIV",95,"Women","Residence"
"Urban","Know risk of MTCT reduced by mother's special drugs",82,"Women","Residence"
"Urban","Heard of PrEP",58,"Women","Residence"
"Urban","Approve of people taking PrEP",68,"Women","Residence"
"Rural","Heard of ARVs that treat HIV",90,"Women","Residence"
"Rural","Know risk of MTCT reduced by mother's special drugs",72,"Women","Residence"
"Rural","Heard of PrEP",41,"Women","Residence"
"Rural","Approve of people taking PrEP",74,"Women","Residence"
"Urban","Heard of ARVs that treat HIV",96,"Men","Residence"
