"Value","Category","Proportion","Participants","Background characteristics"
"15-19","Diagnosed with HBP/Hypertension",2,"Women","Age"
"15-19","Taking meds to control BP",31,"Women","Age"
"20-24","Diagnosed with HBP/Hypertension",5,"Women","Age"
"20-24","Taking meds to control BP",25,"Women","Age"
"25-29","Diagnosed with HBP/Hypertension",8,"Women","Age"
"25-29","Taking meds to control BP",21,"Women","Age"
"30-34","Diagnosed with HBP/Hypertension",10,"Women","Age"
"30-34","Taking meds to control BP",26,"Women","Age"
"35-39","Diagnosed with HBP/Hypertension",11,"Women","Age"
"35-39","Taking meds to control BP",28,"Women","Age"
"40-44","Diagnosed with HBP/Hypertension",16,"Women","Age"
"40-44","Taking meds to control BP",39,"Women","Age"
"45-49","Diagnosed with HBP/Hypertension",20,"Women","Age"
"45-49","Taking meds to control BP",48,"Women","Age"
"15-19","Diagnosed with HBP/Hypertension",1,"Men","Age"
"15-19","Taking meds to control BP",NA,"Men","Age"
"20-24","Diagnosed with HBP/Hypertension",1,"Men","Age"
"20-24","Taking meds to control BP",NA,"Men","Age"
"25-29","Diagnosed with HBP/Hypertension",2,"Men","Age"
"25-29","Taking meds to control BP",11,"Men","Age"
"30-34","Diagnosed with HBP/Hypertension",3,"Men","Age"
"30-34","Taking meds to control BP",18,"Men","Age"
"35-39","Diagnosed with HBP/Hypertension",5,"Men","Age"
"35-39","Taking meds to control BP",33,"Men","Age"
"40-44","Diagnosed with HBP/Hypertension",6,"Men","Age"
"40-44","Taking meds to control BP",38,"Men","Age"
"45-49","Diagnosed with HBP/Hypertension",10,"Men","Age"
"45-49","Taking meds to control BP",40,"Men","Age"
"Urban","Diagnosed with HBP/Hypertension",10,"Women","Residence"
"Urban","Taking meds to control BP",33,"Women","Residence"
"Rural","Diagnosed with HBP/Hypertension",8,"Women","Residence"
"Rural","Taking meds to control BP",31,"Women","Residence"
"Urban","Diagnosed with HBP/Hypertension",3,"Men","Residence"
"Urban","Taking meds to control BP",34,"Men","Residence"
"Rural","Diagnosed with HBP/Hypertension",3,"Men","Residence"
"Rural","Taking meds to control BP",30,"Men","Residence"
"No education","Diagnosed with HBP/Hypertension",6,"Women","Education"
"No education","Taking meds to control BP",35,"Women","Education"
"Primary","Diagnosed with HBP/Hypertension",10,"Women","Education"
"Primary","Taking meds to control BP",34,"Women","Education"
"Secondary","Diagnosed with HBP/Hypertension",8,"Women","Education"
"Secondary","Taking meds to control BP",30,"Women","Education"
"More than secondary","Diagnosed with HBP/Hypertension",9,"Women","Education"
"More than secondary","Taking meds to control BP",30,"Women","Education"
"No education","Diagnosed with HBP/Hypertension",5,"Men","Education"
"No education","Taking meds to control BP",NA,"Men","Education"
"Primary","Diagnosed with HBP/Hypertension",3,"Men","Education"
"Primary","Taking meds to control BP",28,"Men","Education"
"Secondary","Diagnosed with HBP/Hypertension",2,"Men","Education"
"Secondary","Taking meds to control BP",33,"Men","Education"
"More than secondary","Diagnosed with HBP/Hypertension",4,"Men","Education"
"More than secondary","Taking meds to control BP",36,"Men","Education"
"Lowest","Diagnosed with HBP/Hypertension",5,"Women","Wealth quintile"
"Lowest","Taking meds to control BP",36,"Women","Wealth quintile"
"Second","Diagnosed with HBP/Hypertension",6,"Women","Wealth quintile"
"Second","Taking meds to control BP",29,"Women","Wealth quintile"
"Middle","Diagnosed with HBP/Hypertension",9,"Women","Wealth quintile"
"Middle","Taking meds to control BP",30,"Women","Wealth quintile"
"Fourth","Diagnosed with HBP/Hypertension",9,"Women","Wealth quintile"
"Fourth","Taking meds to control BP",32,"Women","Wealth quintile"
"Highest","Diagnosed with HBP/Hypertension",11,"Women","Wealth quintile"
"Highest","Taking meds to control BP",33,"Women","Wealth quintile"
"Lowest","Diagnosed with HBP/Hypertension",2,"Men","Wealth quintile"
"Lowest","Taking meds to control BP",30,"Men","Wealth quintile"
"Second","Diagnosed with HBP/Hypertension",2,"Men","Wealth quintile"
"Second","Taking meds to control BP",25,"Men","Wealth quintile"
"Middle","Diagnosed with HBP/Hypertension",3,"Men","Wealth quintile"
"Middle","Taking meds to control BP",33,"Men","Wealth quintile"
"Fourth","Diagnosed with HBP/Hypertension",3,"Men","Wealth quintile"
"Fourth","Taking meds to control BP",32,"Men","Wealth quintile"
"Highest","Diagnosed with HBP/Hypertension",5,"Men","Wealth quintile"
"Highest","Taking meds to control BP",34,"Men","Wealth quintile"
