"Background characteristics","Category","Gender","variable","value"
"Age","15-19","Female","Alone",0
"Age","20-24","Female","Alone",0.3
"Age","25-29","Female","Alone",1
"Age","30-34","Female","Alone",2
"Age","35-39","Female","Alone",3
"Age","40-44","Female","Alone",3
"Age","45-49","Female","Alone",3
"Residence","Urban","Female","Alone",2
"Residence","Rural","Female","Alone",1
"Education","No education","Female","Alone",1
"Education","Primary","Female","Alone",1
"Education","Secondary","Female","Alone",1
"Education","More than secondary","Female","Alone",2
"Wealth quintile","Lowest","Female","Alone",1
"Wealth quintile","Second","Female","Alone",1
"Wealth quintile","Middle","Female","Alone",1
"Wealth quintile","Fourth","Female","Alone",2
"Wealth quintile","Highest","Female","Alone",2
"Age","15-19","Male","Alone",0.5
"Age","20-24","Male","Alone",2
"Age","25-29","Male","Alone",4
"Age","30-34","Male","Alone",9
"Age","35-39","Male","Alone",13
"Age","40-44","Male","Alone",13
"Age","45-49","Male","Alone",15
"Residence","Urban","Male","Alone",7
"Residence","Rural","Male","Alone",6
"Education","No education","Male","Alone",7
"Education","Primary","Male","Alone",6
"Education","Secondary","Male","Alone",5
"Education","More than secondary","Male","Alone",13
"Wealth quintile","Lowest","Male","Alone",3
"Wealth quintile","Second","Male","Alone",5
"Wealth quintile","Middle","Male","Alone",6
"Wealth quintile","Fourth","Male","Alone",6
"Wealth quintile","Highest","Male","Alone",11
"Age","15-19","Female","Jointly",0.4
"Age","20-24","Female","Jointly",2
"Age","25-29","Female","Jointly",6
"Age","30-34","Female","Jointly",7
"Age","35-39","Female","Jointly",8
"Age","40-44","Female","Jointly",9
"Age","45-49","Female","Jointly",9
"Residence","Urban","Female","Jointly",5
"Residence","Rural","Female","Jointly",5
"Education","No education","Female","Jointly",7
"Education","Primary","Female","Jointly",5
"Education","Secondary","Female","Jointly",5
"Education","More than secondary","Female","Jointly",6
"Wealth quintile","Lowest","Female","Jointly",4
"Wealth quintile","Second","Female","Jointly",3
"Wealth quintile","Middle","Female","Jointly",5
"Wealth quintile","Fourth","Female","Jointly",6
"Wealth quintile","Highest","Female","Jointly",8
"Age","15-19","Male","Jointly",0.4
"Age","20-24","Male","Jointly",1
"Age","25-29","Male","Jointly",1
"Age","30-34","Male","Jointly",2
"Age","35-39","Male","Jointly",2
"Age","40-44","Male","Jointly",3
"Age","45-49","Male","Jointly",3
"Residence","Urban","Male","Jointly",1
"Residence","Rural","Male","Jointly",2
"Education","No education","Male","Jointly",2
"Education","Primary","Male","Jointly",2
"Education","Secondary","Male","Jointly",2
"Education","More than secondary","Male","Jointly",2
"Wealth quintile","Lowest","Male","Jointly",2
"Wealth quintile","Second","Male","Jointly",1
"Wealth quintile","Middle","Male","Jointly",2
"Wealth quintile","Fourth","Male","Jointly",2
"Wealth quintile","Highest","Male","Jointly",2
"Age","15-19","Female","Both alone 
and jointly",0.1
"Age","20-24","Female","Both alone 
and jointly",0.1
"Age","25-29","Female","Both alone 
and jointly",0
"Age","30-34","Female","Both alone 
and jointly",0.1
"Age","35-39","Female","Both alone 
and jointly",0.3
"Age","40-44","Female","Both alone 
and jointly",0.3
"Age","45-49","Female","Both alone 
and jointly",0.1
"Residence","Urban","Female","Both alone 
and jointly",0.1
"Residence","Rural","Female","Both alone 
and jointly",0.2
"Education","No education","Female","Both alone 
and jointly",0.3
"Education","Primary","Female","Both alone 
and jointly",0.1
"Education","Secondary","Female","Both alone 
and jointly",0.1
"Education","More than secondary","Female","Both alone 
and jointly",0.2
"Wealth quintile","Lowest","Female","Both alone 
and jointly",0.1
"Wealth quintile","Second","Female","Both alone 
and jointly",0.2
"Wealth quintile","Middle","Female","Both alone 
and jointly",0.1
"Wealth quintile","Fourth","Female","Both alone 
and jointly",0.1
"Wealth quintile","Highest","Female","Both alone 
and jointly",0.1
"Age","15-19","Male","Both alone 
and jointly",0
"Age","20-24","Male","Both alone 
and jointly",0.1
"Age","25-29","Male","Both alone 
and jointly",0
"Age","30-34","Male","Both alone 
and jointly",0
"Age","35-39","Male","Both alone 
and jointly",0
"Age","40-44","Male","Both alone 
and jointly",0.3
"Age","45-49","Male","Both alone 
and jointly",0
"Residence","Urban","Male","Both alone 
and jointly",0.1
"Residence","Rural","Male","Both alone 
and jointly",0
"Education","No education","Male","Both alone 
and jointly",0
"Education","Primary","Male","Both alone 
and jointly",0
"Education","Secondary","Male","Both alone 
and jointly",0.1
"Education","More than secondary","Male","Both alone 
and jointly",0.2
"Wealth quintile","Lowest","Male","Both alone 
and jointly",0
"Wealth quintile","Second","Male","Both alone 
and jointly",0
"Wealth quintile","Middle","Male","Both alone 
and jointly",0
"Wealth quintile","Fourth","Male","Both alone 
and jointly",0.1
"Wealth quintile","Highest","Male","Both alone 
and jointly",0.1
"Age","15-19","Female","Do not own 
agricultural land",99
"Age","20-24","Female","Do not own 
agricultural land",98
"Age","25-29","Female","Do not own 
agricultural land",93
"Age","30-34","Female","Do not own 
agricultural land",91
"Age","35-39","Female","Do not own 
agricultural land",89
"Age","40-44","Female","Do not own 
agricultural land",87
"Age","45-49","Female","Do not own 
agricultural land",87
"Residence","Urban","Female","Do not own 
agricultural land",93
"Residence","Rural","Female","Do not own 
agricultural land",93
"Education","No education","Female","Do not own 
agricultural land",92
"Education","Primary","Female","Do not own 
agricultural land",93
"Education","Secondary","Female","Do not own 
agricultural land",94
"Education","More than secondary","Female","Do not own 
agricultural land",92
"Wealth quintile","Lowest","Female","Do not own 
agricultural land",95
"Wealth quintile","Second","Female","Do not own 
agricultural land",96
