"Background characteristics","Type of violence experienced","variable","value","Gender"
"Controlling behavior","y controlling behavior","Ever experienced",73,"Male"
"Controlling behavior","Is jealous or angry if he talks to other women","Ever experienced",64,"Male"
"Controlling behavior","Wrongly accuses him of being unfaithful","Ever experienced",40,"Male"
"Controlling behavior","Does not permit him to meet him male friends","Ever experienced",16,"Male"
"Controlling behavior","Tries to limit him contact with his family","Ever experienced",6,"Male"
"Controlling behavior","Insists on knowing where he is at all times","Ever experienced",39,"Male"
"Physical violence","y physical violence","Ever experienced",8,"Male"
"Physical violence","Pushed him, shook him, or threw something at him","Ever experienced",5,"Male"
"Physical violence","Slapped him","Ever experienced",3,"Male"
"Physical violence","Twisted his arm or pulled his hair","Ever experienced",2,"Male"
"Physical violence","Punched him with her fist or with something that could hurt him","Ever experienced",2,"Male"
"Physical violence","Kicked him, dragged him, or beat him up","Ever experienced",1,"Male"
"Physical violence","Tried to choke him or burn him on purpose","Ever experienced",0.5,"Male"
"Physical violence","Attacked him with a knife, gun, or other weapon","Ever experienced",1,"Male"
"Sexual violence","y sexual violence","Ever experienced",6,"Male"
"Sexual violence","Physically forced him to have sexual intercourse with her when he did not want to","Ever experienced",4,"Male"
"Sexual violence","Physically forced him to perform any other sexual acts he did not want to","Ever experienced",2,"Male"
"Sexual violence","Forced him with threats or in any other way to perform sexual acts he did not want to","Ever experienced",1,"Male"
"Psychological/emotional violence","y psychological/emotional violence","Ever experienced",25,"Male"
"Psychological/emotional violence","Said or did something to humiliate him in front of others","Ever experienced",14,"Male"
"Psychological/emotional violence","Threatened to hurt or harm him or someone he cared about","Ever experienced",6,"Male"
"Psychological/emotional violence","Insulted him or made him feel bad about himself","Ever experienced",15,"Male"
"Economic violence","strict, exploit, or sabotage his ability to acquire or access or maintain economic resources","Ever experienced",6,"Male"
"Economic violence","least three forms of controlling behaviors","Ever experienced",28,"Male"
"Economic violence","y form of physical and/or sexual violence","Ever experienced",11,"Male"
"Economic violence","y form of  psychological/emotional or physical or sexual violence","Ever experienced",29,"Male"
"Economic violence","y form of economic, psychological/emotional or physical or sexual violence","Ever experienced",36,"Male"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner","ysical violence","Ever experienced",10,"Male"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner","xual violence","Ever experienced",7,"Male"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner","ychological/emotional violence","Ever experienced",27,"Male"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner","onomic violence","Ever experienced",13,"Male"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner","y form of physical or sexual violence","Ever experienced",14,"Male"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner","y form of emotional or physical or sexual violence","Ever experienced",32,"Male"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner","y form of economic, psychological/emotional or physical or sexual violence","Ever experienced",39,"Male"
"Controlling behavior","y controlling behavior","Experienced in the last 12 months",64,"Male"
"Controlling behavior","Is jealous or angry if he talks to other women","Experienced in the last 12 months",54,"Male"
"Controlling behavior","Wrongly accuses him of being unfaithful","Experienced in the last 12 months",33,"Male"
"Controlling behavior","Does not permit him to meet him male friends","Experienced in the last 12 months",14,"Male"
"Controlling behavior","Tries to limit him contact with his family","Experienced in the last 12 months",5,"Male"
"Controlling behavior","Insists on knowing where he is at all times","Experienced in the last 12 months",34,"Male"
"Physical violence","y physical violence","Experienced in the last 12 months",6,"Male"
"Physical violence","Pushed him, shook him, or threw something at him","Experienced in the last 12 months",3,"Male"
"Physical violence","Slapped him","Experienced in the last 12 months",2,"Male"
"Physical violence","Twisted his arm or pulled his hair","Experienced in the last 12 months",1,"Male"
"Physical violence","Punched him with her fist or with something that could hurt him","Experienced in the last 12 months",1,"Male"
"Physical violence","Kicked him, dragged him, or beat him up","Experienced in the last 12 months",0.5,"Male"
"Physical violence","Tried to choke him or burn him on purpose","Experienced in the last 12 months",0.4,"Male"
"Physical violence","Attacked him with a knife, gun, or other weapon","Experienced in the last 12 months",0.5,"Male"
"Sexual violence","y sexual violence","Experienced in the last 12 months",4,"Male"
"Sexual violence","Physically forced him to have sexual intercourse with her when he did not want to","Experienced in the last 12 months",3,"Male"
"Sexual violence","Physically forced him to perform any other sexual acts he did not want to","Experienced in the last 12 months",2,"Male"
"Sexual violence","Forced him with threats or in any other way to perform sexual acts he did not want to","Experienced in the last 12 months",1,"Male"
"Psychological/emotional violence","y psychological/emotional violence","Experienced in the last 12 months",19,"Male"
"Psychological/emotional violence","Said or did something to humiliate him in front of others","Experienced in the last 12 months",10,"Male"
"Psychological/emotional violence","Threatened to hurt or harm him or someone he cared about","Experienced in the last 12 months",3,"Male"
"Psychological/emotional violence","Insulted him or made him feel bad about himself","Experienced in the last 12 months",11,"Male"
"Economic violence","strict, exploit, or sabotage his ability to acquire or access or maintain economic resources","Experienced in the last 12 months",2,"Male"
"Economic violence","least three forms of controlling behaviors","Experienced in the last 12 months",25,"Male"
"Economic violence","y form of physical and/or sexual violence","Experienced in the last 12 months",8,"Male"
"Economic violence","y form of  psychological/emotional or physical or sexual violence","Experienced in the last 12 months",22,"Male"
"Economic violence","y form of economic, psychological/emotional or physical or sexual violence","Experienced in the last 12 months",28,"Male"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner","ysical violence","Experienced in the last 12 months",5,"Male"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner","xual violence","Experienced in the last 12 months",5,"Male"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner","ychological/emotional violence","Experienced in the last 12 months",19,"Male"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner","onomic violence","Experienced in the last 12 months",8,"Male"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner","y form of physical or sexual violence","Experienced in the last 12 months",8,"Male"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner","y form of emotional or physical or sexual violence","Experienced in the last 12 months",22,"Male"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner","y form of economic, psychological/emotional or physical or sexual violence","Experienced in the last 12 months",29,"Male"
"Controlling behavior","y controlling behavior","Often",27,"Male"
"Controlling behavior","Is jealous or angry if he talks to other women","Often",15,"Male"
"Controlling behavior","Wrongly accuses him of being unfaithful","Often",6,"Male"
"Controlling behavior","Does not permit him to meet him male friends","Often",4,"Male"
"Controlling behavior","Tries to limit him contact with his family","Often",1,"Male"
"Controlling behavior","Insists on knowing where he is at all times","Often",16,"Male"
"Physical violence","y physical violence","Often",1,"Male"
"Physical violence","Pushed him, shook him, or threw something at him","Often",0.3,"Male"
"Physical violence","Slapped him","Often",0.1,"Male"
"Physical violence","Twisted his arm or pulled his hair","Often",0.4,"Male"
"Physical violence","Punched him with her fist or with something that could hurt him","Often",0.1,"Male"
"Physical violence","Kicked him, dragged him, or beat him up","Often",0.1,"Male"
"Physical violence","Tried to choke him or burn him on purpose","Often",0,"Male"
