"Background characteristics","Category","Gender","variable","value"
"Age","15-19","Female","Ever",7
"Age","20-24","Female","Ever",11
"Age","25-29","Female","Ever",13
"Age","30-39","Female","Ever",15
"Age","40-49","Female","Ever",18
"Residence","Urban","Female","Ever",13
"Residence","Rural","Female","Ever",13
"Marital Status","Never married","Female","Ever",8
"Marital Status","Never ever had intimate partner","Female","Ever",3
"Marital Status","Ever had intimate partner","Female","Ever",12
"Marital Status","Ever married","Female","Ever",15
"Marital Status","Married/living together","Female","Ever",13
"Marital Status","Divorced/separated/widowed","Female","Ever",26
"Employment","Employed for cash","Female","Ever",16
"Employment","Employed not for cash","Female","Ever",14
"Employment","Not employed","Female","Ever",9
"Education","No education","Female","Ever",8
"Education","Primary","Female","Ever",16
"Education","Secondary","Female","Ever",12
"Education","More than secondary","Female","Ever",11
"Wealth quintile","Lowest","Female","Ever",13
"Wealth quintile","Second","Female","Ever",15
"Wealth quintile","Middle","Female","Ever",13
"Wealth quintile","Fourth","Female","Ever",14
"Wealth quintile","Highest","Female","Ever",11
"Age","15-19","Male","Ever",5
"Age","20-24","Male","Ever",8
"Age","25-29","Male","Ever",8
"Age","30-39","Male","Ever",8
"Age","40-49","Male","Ever",7
"Residence","Urban","Male","Ever",8
"Residence","Rural","Male","Ever",6
"Marital Status","Never married","Male","Ever",5
"Marital Status","Never ever had intimate partner","Male","Ever",2
"Marital Status","Ever had intimate partner","Male","Ever",8
"Marital Status","Ever married","Male","Ever",8
"Marital Status","Married/living together","Male","Ever",7
"Marital Status","Divorced/separated/widowed","Male","Ever",21
"Employment","Employed for cash","Male","Ever",8
"Employment","Employed not for cash","Male","Ever",3
"Employment","Not employed","Male","Ever",4
"Education","No education","Male","Ever",5
"Education","Primary","Male","Ever",7
"Education","Secondary","Male","Ever",7
"Education","More than secondary","Male","Ever",7
"Wealth quintile","Lowest","Male","Ever",6
"Wealth quintile","Second","Male","Ever",7
"Wealth quintile","Middle","Male","Ever",7
"Wealth quintile","Fourth","Male","Ever",7
"Wealth quintile","Highest","Male","Ever",7
"Age","15-19","Female","In the last 12 months",3
"Age","20-24","Female","In the last 12 months",6
"Age","25-29","Female","In the last 12 months",8
"Age","30-39","Female","In the last 12 months",8
"Age","40-49","Female","In the last 12 months",7
"Residence","Urban","Female","In the last 12 months",6
"Residence","Rural","Female","In the last 12 months",7
"Marital Status","Never married","Female","In the last 12 months",3
"Marital Status","Never ever had intimate partner","Female","In the last 12 months",0.5
"Marital Status","Ever had intimate partner","Female","In the last 12 months",5
"Marital Status","Ever married","Female","In the last 12 months",8
"Marital Status","Married/living together","Female","In the last 12 months",8
"Marital Status","Divorced/separated/widowed","Female","In the last 12 months",8
"Employment","Employed for cash","Female","In the last 12 months",8
"Employment","Employed not for cash","Female","In the last 12 months",8
"Employment","Not employed","Female","In the last 12 months",5
"Education","No education","Female","In the last 12 months",5
"Education","Primary","Female","In the last 12 months",8
"Education","Secondary","Female","In the last 12 months",6
"Education","More than secondary","Female","In the last 12 months",4
"Wealth quintile","Lowest","Female","In the last 12 months",7
"Wealth quintile","Second","Female","In the last 12 months",8
"Wealth quintile","Middle","Female","In the last 12 months",7
"Wealth quintile","Fourth","Female","In the last 12 months",6
"Wealth quintile","Highest","Female","In the last 12 months",5
"Age","15-19","Male","In the last 12 months",3
"Age","20-24","Male","In the last 12 months",6
"Age","25-29","Male","In the last 12 months",5
"Age","30-39","Male","In the last 12 months",4
"Age","40-49","Male","In the last 12 months",3
"Residence","Urban","Male","In the last 12 months",5
"Residence","Rural","Male","In the last 12 months",3
"Marital Status","Never married","Male","In the last 12 months",3
"Marital Status","Never ever had intimate partner","Male","In the last 12 months",0.2
"Marital Status","Ever had intimate partner","Male","In the last 12 months",6
"Marital Status","Ever married","Male","In the last 12 months",5
"Marital Status","Married/living together","Male","In the last 12 months",4
"Marital Status","Divorced/separated/widowed","Male","In the last 12 months",11
"Employment","Employed for cash","Male","In the last 12 months",5
"Employment","Employed not for cash","Male","In the last 12 months",2
"Employment","Not employed","Male","In the last 12 months",2
"Education","No education","Male","In the last 12 months",2
"Education","Primary","Male","In the last 12 months",4
"Education","Secondary","Male","In the last 12 months",4
"Education","More than secondary","Male","In the last 12 months",3
"Wealth quintile","Lowest","Male","In the last 12 months",4
"Wealth quintile","Second","Male","In the last 12 months",4
"Wealth quintile","Middle","Male","In the last 12 months",4
"Wealth quintile","Fourth","Male","In the last 12 months",5
"Wealth quintile","Highest","Male","In the last 12 months",3
