"Value","Category","Proportion","Background characteristics"
"Urban","Mass distribution campaign",50,"Residence"
"Urban","ANC visit",13,"Residence"
"Urban","Immunization visit",4,"Residence"
"Urban","Shop/market",27,"Residence"
"Rural","Mass distribution campaign",79,"Residence"
"Rural","ANC visit",9,"Residence"
"Rural","Immunization visit",2,"Residence"
"Rural","Shop/market",6,"Residence"
"Highland epidemic prone","Mass distribution campaign",92,"Endemicity zone"
"Highland epidemic prone","ANC visit",4,"Endemicity zone"
"Highland epidemic prone","Immunization visit",1,"Endemicity zone"
"Highland epidemic prone","Shop/market",2,"Endemicity zone"
"Lake endemic","Mass distribution campaign",89,"Endemicity zone"
"Lake endemic","ANC visit",6,"Endemicity zone"
"Lake endemic","Immunization visit",2,"Endemicity zone"
"Lake endemic","Shop/market",2,"Endemicity zone"
"Coast endemic","Mass distribution campaign",87,"Endemicity zone"
"Coast endemic","ANC visit",7,"Endemicity zone"
"Coast endemic","Immunization visit",1,"Endemicity zone"
"Coast endemic","Shop/market",4,"Endemicity zone"
"Seasonal","Mass distribution campaign",31,"Endemicity zone"
"Seasonal","ANC visit",26,"Endemicity zone"
"Seasonal","Immunization visit",6,"Endemicity zone"
"Seasonal","Shop/market",26,"Endemicity zone"
"Low risk","Mass distribution campaign",18,"Endemicity zone"
"Low risk","ANC visit",22,"Endemicity zone"
"Low risk","Immunization visit",8,"Endemicity zone"
"Low risk","Shop/market",40,"Endemicity zone"
"Lowest","Mass distribution campaign",82,"Wealth quintile"
"Lowest","ANC visit",10,"Wealth quintile"
"Lowest","Immunization visit",2,"Wealth quintile"
"Lowest","Shop/market",3,"Wealth quintile"
"Second","Mass distribution campaign",85,"Wealth quintile"
"Second","ANC visit",8,"Wealth quintile"
"Second","Immunization visit",2,"Wealth quintile"
"Second","Shop/market",3,"Wealth quintile"
"Middle","Mass distribution campaign",77,"Wealth quintile"
"Middle","ANC visit",9,"Wealth quintile"
"Middle","Immunization visit",2,"Wealth quintile"
"Middle","Shop/market",7,"Wealth quintile"
"Fourth","Mass distribution campaign",66,"Wealth quintile"
"Fourth","ANC visit",11,"Wealth quintile"
"Fourth","Immunization visit",4,"Wealth quintile"
"Fourth","Shop/market",13,"Wealth quintile"
"Highest","Mass distribution campaign",42,"Wealth quintile"
"Highest","ANC visit",14,"Wealth quintile"
"Highest","Immunization visit",3,"Wealth quintile"
"Highest","Shop/market",35,"Wealth quintile"
