"Value","Category","Proportion","Background characteristics"
"Urban","Use in all households",40,"Residence"
"Urban","Use in households with 1/+ ITN",76,"Residence"
"Rural","Use in all households",57,"Residence"
"Rural","Use in households with 1/+ ITN",77,"Residence"
"Highland epidemic prone","Use in all households",67,"Endemicity zone"
"Highland epidemic prone","Use in households with 1/+ ITN",77,"Endemicity zone"
"Lake endemic","Use in all households",75,"Endemicity zone"
"Lake endemic","Use in households with 1/+ ITN",80,"Endemicity zone"
"Coast endemic","Use in all households",66,"Endemicity zone"
"Coast endemic","Use in households with 1/+ ITN",82,"Endemicity zone"
"Seasonal","Use in all households",35,"Endemicity zone"
"Seasonal","Use in households with 1/+ ITN",72,"Endemicity zone"
"Low risk","Use in all households",33,"Endemicity zone"
"Low risk","Use in households with 1/+ ITN",74,"Endemicity zone"
"Lowest","Use in all households",48,"Wealth quintile"
"Lowest","Use in households with 1/+ ITN",73,"Wealth quintile"
"Second","Use in all households",61,"Wealth quintile"
"Second","Use in households with 1/+ ITN",79,"Wealth quintile"
"Middle","Use in all households",62,"Wealth quintile"
"Middle","Use in households with 1/+ ITN",81,"Wealth quintile"
"Fourth","Use in all households",49,"Wealth quintile"
"Fourth","Use in households with 1/+ ITN",79,"Wealth quintile"
"Highest","Use in all households",37,"Wealth quintile"
"Highest","Use in households with 1/+ ITN",72,"Wealth quintile"
