"Value","Category","Proportion","Background characteristics"
"Urban","Use in all households",29,"Residence"
"Urban","Use in households with 1/+ ITN",70,"Residence"
"Rural","Use in all households",57,"Residence"
"Rural","Use in households with 1/+ ITN",77,"Residence"
"Highland epidemic prone","Use in all households",64,"Endemicity zone"
"Highland epidemic prone","Use in households with 1/+ ITN",78,"Endemicity zone"
"Lake endemic","Use in all households",75,"Endemicity zone"
"Lake endemic","Use in households with 1/+ ITN",82,"Endemicity zone"
"Coast endemic","Use in all households",61,"Endemicity zone"
"Coast endemic","Use in households with 1/+ ITN",82,"Endemicity zone"
"Seasonal","Use in all households",35,"Endemicity zone"
"Seasonal","Use in households with 1/+ ITN",70,"Endemicity zone"
"Low risk","Use in all households",20,"Endemicity zone"
"Low risk","Use in households with 1/+ ITN",61,"Endemicity zone"
"Lowest","Use in all households",51,"Wealth quintile"
"Lowest","Use in households with 1/+ ITN",75,"Wealth quintile"
"Second","Use in all households",59,"Wealth quintile"
"Second","Use in households with 1/+ ITN",73,"Wealth quintile"
"Middle","Use in all households",56,"Wealth quintile"
"Middle","Use in households with 1/+ ITN",82,"Wealth quintile"
"Fourth","Use in all households",41,"Wealth quintile"
"Fourth","Use in households with 1/+ ITN",76,"Wealth quintile"
"Highest","Use in all households",25,"Wealth quintile"
"Highest","Use in households with 1/+ ITN",68,"Wealth quintile"
