"Value","Category","Proportion","Participants","Background characteristics"
"15-19","Diagnosed with Arthritis",1,"Women","Age"
"15-19","Receiving treatment",37,"Women","Age"
"20-24","Diagnosed with Arthritis",1,"Women","Age"
"20-24","Receiving treatment",26,"Women","Age"
"25-29","Diagnosed with Arthritis",1,"Women","Age"
"25-29","Receiving treatment",45,"Women","Age"
"30-34","Diagnosed with Arthritis",2,"Women","Age"
"30-34","Receiving treatment",32,"Women","Age"
"35-39","Diagnosed with Arthritis",4,"Women","Age"
"35-39","Receiving treatment",53,"Women","Age"
"40-44","Diagnosed with Arthritis",6,"Women","Age"
"40-44","Receiving treatment",52,"Women","Age"
"45-49","Diagnosed with Arthritis",9,"Women","Age"
"45-49","Receiving treatment",59,"Women","Age"
"15-19","Diagnosed with Arthritis",0.5,"Men","Age"
"15-19","Receiving treatment",NA,"Men","Age"
"20-24","Diagnosed with Arthritis",1,"Men","Age"
"20-24","Receiving treatment",NA,"Men","Age"
"25-29","Diagnosed with Arthritis",0.5,"Men","Age"
"25-29","Receiving treatment",NA,"Men","Age"
"30-34","Diagnosed with Arthritis",1,"Men","Age"
"30-34","Receiving treatment",NA,"Men","Age"
"35-39","Diagnosed with Arthritis",2,"Men","Age"
"35-39","Receiving treatment",NA,"Men","Age"
"40-44","Diagnosed with Arthritis",3,"Men","Age"
"40-44","Receiving treatment",43,"Men","Age"
"45-49","Diagnosed with Arthritis",3,"Men","Age"
"45-49","Receiving treatment",53,"Men","Age"
"Urban","Diagnosed with Arthritis",2,"Women","Residence"
"Urban","Receiving treatment",51,"Women","Residence"
"Rural","Diagnosed with Arthritis",3,"Women","Residence"
"Rural","Receiving treatment",48,"Women","Residence"
"Urban","Diagnosed with Arthritis",0.5,"Men","Residence"
"Urban","Receiving treatment",55,"Men","Residence"
"Rural","Diagnosed with Arthritis",2,"Men","Residence"
"Rural","Receiving treatment",43,"Men","Residence"
"No education","Diagnosed with Arthritis",2,"Women","Education"
"No education","Receiving treatment",54,"Women","Education"
"Primary","Diagnosed with Arthritis",4,"Women","Education"
"Primary","Receiving treatment",46,"Women","Education"
"Secondary","Diagnosed with Arthritis",2,"Women","Education"
"Secondary","Receiving treatment",53,"Women","Education"
"More than secondary","Diagnosed with Arthritis",2,"Women","Education"
"More than secondary","Receiving treatment",47,"Women","Education"
"No education","Diagnosed with Arthritis",2,"Men","Education"
"No education","Receiving treatment",NA,"Men","Education"
"Primary","Diagnosed with Arthritis",2,"Men","Education"
"Primary","Receiving treatment",47,"Men","Education"
"Secondary","Diagnosed with Arthritis",1,"Men","Education"
"Secondary","Receiving treatment",56,"Men","Education"
"More than secondary","Diagnosed with Arthritis",1,"Men","Education"
"More than secondary","Receiving treatment",NA,"Men","Education"
"Lowest","Diagnosed with Arthritis",2,"Women","Wealth quintile"
"Lowest","Receiving treatment",39,"Women","Wealth quintile"
"Second","Diagnosed with Arthritis",3,"Women","Wealth quintile"
"Second","Receiving treatment",43,"Women","Wealth quintile"
"Middle","Diagnosed with Arthritis",3,"Women","Wealth quintile"
"Middle","Receiving treatment",50,"Women","Wealth quintile"
"Fourth","Diagnosed with Arthritis",4,"Women","Wealth quintile"
"Fourth","Receiving treatment",57,"Women","Wealth quintile"
"Highest","Diagnosed with Arthritis",3,"Women","Wealth quintile"
"Highest","Receiving treatment",48,"Women","Wealth quintile"
"Lowest","Diagnosed with Arthritis",2,"Men","Wealth quintile"
"Lowest","Receiving treatment",43,"Men","Wealth quintile"
"Second","Diagnosed with Arthritis",2,"Men","Wealth quintile"
"Second","Receiving treatment",38,"Men","Wealth quintile"
"Middle","Diagnosed with Arthritis",1,"Men","Wealth quintile"
"Middle","Receiving treatment",51,"Men","Wealth quintile"
"Fourth","Diagnosed with Arthritis",1,"Men","Wealth quintile"
"Fourth","Receiving treatment",38,"Men","Wealth quintile"
"Highest","Diagnosed with Arthritis",0.5,"Men","Wealth quintile"
"Highest","Receiving treatment",NA,"Men","Wealth quintile"
