"Value","Category","Proportion","Background characteristics"
"15-29","Tested for
 cervical cancer",8,"Age"
"15-29","Diagnosed with
 cervical cancer",0.1,"Age"
"30-49","Tested for
 cervical cancer",27,"Age"
"30-49","Diagnosed with
 cervical cancer",0.3,"Age"
"30-34","Tested for
 cervical cancer",22,"Age"
"30-34","Diagnosed with
 cervical cancer",0.2,"Age"
"35-39","Tested for
 cervical cancer",26,"Age"
"35-39","Diagnosed with
 cervical cancer",0.2,"Age"
"40-44","Tested for
 cervical cancer",33,"Age"
"40-44","Diagnosed with
 cervical cancer",0.2,"Age"
"45-49","Tested for
 cervical cancer",31,"Age"
"45-49","Diagnosed with
 cervical cancer",1,"Age"
"Urban","Tested for
 cervical cancer",20,"Residence"
"Urban","Diagnosed with
 cervical cancer",0.2,"Residence"
"Rural","Tested for
 cervical cancer",14,"Residence"
"Rural","Diagnosed with
 cervical cancer",0.2,"Residence"
"No education","Tested for
 cervical cancer",6,"Education"
"No education","Diagnosed with
 cervical cancer",0.1,"Education"
"Primary","Tested for
 cervical cancer",16,"Education"
"Primary","Diagnosed with
 cervical cancer",0.3,"Education"
"Secondary","Tested for
 cervical cancer",15,"Education"
"Secondary","Diagnosed with
 cervical cancer",0.1,"Education"
"More than secondary","Tested for
 cervical cancer",25,"Education"
"More than secondary","Diagnosed with
 cervical cancer",0.3,"Education"
"Lowest","Tested for
 cervical cancer",8,"Wealth quintile"
"Lowest","Diagnosed with
 cervical cancer",0.1,"Wealth quintile"
"Second","Tested for
 cervical cancer",13,"Wealth quintile"
"Second","Diagnosed with
 cervical cancer",0.2,"Wealth quintile"
"Middle","Tested for
 cervical cancer",16,"Wealth quintile"
"Middle","Diagnosed with
 cervical cancer",0.2,"Wealth quintile"
"Fourth","Tested for
 cervical cancer",19,"Wealth quintile"
"Fourth","Diagnosed with
 cervical cancer",0.1,"Wealth quintile"
"Highest","Tested for
 cervical cancer",24,"Wealth quintile"
"Highest","Diagnosed with
 cervical cancer",0.3,"Wealth quintile"
