"Background characteristics","Category","Gender","variable","value"
"Age","15-19","Female","Own any mobile phone",32
"Age","20-24","Female","Own any mobile phone",83
"Age","25-29","Female","Own any mobile phone",89
"Age","30-34","Female","Own any mobile phone",90
"Age","35-39","Female","Own any mobile phone",90
"Age","40-44","Female","Own any mobile phone",91
"Age","45-49","Female","Own any mobile phone",89
"Residence","Urban","Female","Own any mobile phone",89
"Residence","Rural","Female","Own any mobile phone",70
"Education","No education","Female","Own any mobile phone",64
"Education","Primary","Female","Own any mobile phone",71
"Education","Secondary","Female","Own any mobile phone",75
"Education","More than secondary","Female","Own any mobile phone",99
"Wealth quintile","Lowest","Female","Own any mobile phone",52
"Wealth quintile","Second","Female","Own any mobile phone",66
"Wealth quintile","Middle","Female","Own any mobile phone",77
"Wealth quintile","Fourth","Female","Own any mobile phone",87
"Wealth quintile","Highest","Female","Own any mobile phone",94
"Age","15-19","Male","Own any mobile phone",44
"Age","20-24","Male","Own any mobile phone",90
"Age","25-29","Male","Own any mobile phone",94
"Age","30-34","Male","Own any mobile phone",92
"Age","35-39","Male","Own any mobile phone",92
"Age","40-44","Male","Own any mobile phone",90
"Age","45-49","Male","Own any mobile phone",90
"Residence","Urban","Male","Own any mobile phone",90
"Residence","Rural","Male","Own any mobile phone",74
"Education","No education","Male","Own any mobile phone",77
"Education","Primary","Male","Own any mobile phone",69
"Education","Secondary","Male","Own any mobile phone",81
"Education","More than secondary","Male","Own any mobile phone",99
"Wealth quintile","Lowest","Male","Own any mobile phone",64
"Wealth quintile","Second","Male","Own any mobile phone",70
"Wealth quintile","Middle","Male","Own any mobile phone",79
"Wealth quintile","Fourth","Male","Own any mobile phone",88
"Wealth quintile","Highest","Male","Own any mobile phone",94
"Age","15-19","Female","Own a smartphone",20
"Age","20-24","Female","Own a smartphone",54
"Age","25-29","Female","Own a smartphone",54
"Age","30-34","Female","Own a smartphone",49
"Age","35-39","Female","Own a smartphone",44
"Age","40-44","Female","Own a smartphone",41
"Age","45-49","Female","Own a smartphone",35
"Residence","Urban","Female","Own a smartphone",65
"Residence","Rural","Female","Own a smartphone",28
"Education","No education","Female","Own a smartphone",10
"Education","Primary","Female","Own a smartphone",22
"Education","Secondary","Female","Own a smartphone",44
"Education","More than secondary","Female","Own a smartphone",90
"Wealth quintile","Lowest","Female","Own a smartphone",6
"Wealth quintile","Second","Female","Own a smartphone",16
"Wealth quintile","Middle","Female","Own a smartphone",34
"Wealth quintile","Fourth","Female","Own a smartphone",54
"Wealth quintile","Highest","Female","Own a smartphone",80
"Age","15-19","Male","Own a smartphone",27
"Age","20-24","Male","Own a smartphone",63
"Age","25-29","Male","Own a smartphone",66
"Age","30-34","Male","Own a smartphone",57
"Age","35-39","Male","Own a smartphone",50
"Age","40-44","Male","Own a smartphone",45
"Age","45-49","Male","Own a smartphone",39
"Residence","Urban","Male","Own a smartphone",70
"Residence","Rural","Male","Own a smartphone",35
"Education","No education","Male","Own a smartphone",14
"Education","Primary","Male","Own a smartphone",24
"Education","Secondary","Male","Own a smartphone",52
