"Background characteristics","Category","Gender","variable","value"
"Age","-19","Female","Psychological/emotional violence",13
"Age","-24","Female","Psychological/emotional violence",20
"Age","-29","Female","Psychological/emotional violence",24
"Age","-39","Female","Psychological/emotional violence",25
"Age","-49","Female","Psychological/emotional violence",22
"Residence","ban","Female","Psychological/emotional violence",19
"Residence","ral","Female","Psychological/emotional violence",24
"Marital status","ver married","Female","Psychological/emotional violence",12
"Marital status","Currently has intimate partner","Female","Psychological/emotional violence",12
"Marital status","Had intimate partner","Female","Psychological/emotional violence",12
"Marital status","er married","Female","Psychological/emotional violence",25
"Marital status","Married/living together","Female","Psychological/emotional violence",26
"Marital status","Divorced/separated/widowed","Female","Psychological/emotional violence",22
"Education","education","Female","Psychological/emotional violence",19
"Education","imary","Female","Psychological/emotional violence",28
"Education","condary","Female","Psychological/emotional violence",21
"Education","re than secondary","Female","Psychological/emotional violence",15
"Wealth quintile","west","Female","Psychological/emotional violence",25
"Wealth quintile","cond","Female","Psychological/emotional violence",26
"Wealth quintile","ddle","Female","Psychological/emotional violence",25
"Wealth quintile","urth","Female","Psychological/emotional violence",22
"Wealth quintile","ghest","Female","Psychological/emotional violence",17
"Age","-19","Male","Psychological/emotional violence",16
"Age","-24","Male","Psychological/emotional violence",24
"Age","-29","Male","Psychological/emotional violence",21
"Age","-39","Male","Psychological/emotional violence",19
"Age","-49","Male","Psychological/emotional violence",16
"Residence","ban","Male","Psychological/emotional violence",23
"Residence","ral","Male","Psychological/emotional violence",17
"Marital status","ver married","Male","Psychological/emotional violence",18
"Marital status","Currently has intimate partner","Male","Psychological/emotional violence",21
"Marital status","Had intimate partner","Male","Psychological/emotional violence",12
"Marital status","er married","Male","Psychological/emotional violence",19
"Marital status","Married/living together","Male","Psychological/emotional violence",18
"Marital status","Divorced/separated/widowed","Male","Psychological/emotional violence",26
"Education","education","Male","Psychological/emotional violence",12
"Education","imary","Male","Psychological/emotional violence",20
"Education","condary","Male","Psychological/emotional violence",20
"Education","re than secondary","Male","Psychological/emotional violence",18
"Wealth quintile","west","Male","Psychological/emotional violence",17
"Wealth quintile","cond","Male","Psychological/emotional violence",19
"Wealth quintile","ddle","Male","Psychological/emotional violence",17
"Wealth quintile","urth","Male","Psychological/emotional violence",23
"Wealth quintile","ghest","Male","Psychological/emotional violence",18
"Age","-19","Female","Physical violence",10
"Age","-24","Female","Physical violence",16
"Age","-29","Female","Physical violence",18
"Age","-39","Female","Physical violence",18
"Age","-49","Female","Physical violence",14
"Residence","ban","Female","Physical violence",14
"Residence","ral","Female","Physical violence",18
"Marital status","ver married","Female","Physical violence",7
"Marital status","Currently has intimate partner","Female","Physical violence",8
"Marital status","Had intimate partner","Female","Physical violence",6
"Marital status","er married","Female","Physical violence",18
"Marital status","Married/living together","Female","Physical violence",18
"Marital status","Divorced/separated/widowed","Female","Physical violence",19
"Education","education","Female","Physical violence",17
"Education","imary","Female","Physical violence",22
"Education","condary","Female","Physical violence",15
"Education","re than secondary","Female","Physical violence",6
"Wealth quintile","west","Female","Physical violence",22
"Wealth quintile","cond","Female","Physical violence",20
"Wealth quintile","ddle","Female","Physical violence",18
