"Background characteristics","Category","Gender","variable","value"
"Age","15-19","Female","Since age 15",20
"Age","20-24","Female","Since age 15",29
"Age","25-29","Female","Since age 15",37
"Age","30-39","Female","Since age 15",40
"Age","40-49","Female","Since age 15",42
"Residence","Urban","Female","Since age 15",32
"Residence","Rural","Female","Since age 15",36
"Marital Status","Never married","Female","Since age 15",20
"Marital Status","Never ever had intimate partner","Female","Since age 15",12
"Marital Status","Ever had intimate partner","Female","Since age 15",25
"Marital Status","Ever married","Female","Since age 15",41
"Marital Status","Married/living together","Female","Since age 15",37
"Marital Status","Divorced/separated/widowed","Female","Since age 15",58
"Education","No education","Female","Since age 15",36
"Education","Primary","Female","Since age 15",43
"Education","Secondary","Female","Since age 15",31
"Education","More than secondary","Female","Since age 15",23
"Wealth quintile","Lowest","Female","Since age 15",37
"Wealth quintile","Second","Female","Since age 15",37
"Wealth quintile","Middle","Female","Since age 15",37
"Wealth quintile","Fourth","Female","Since age 15",34
"Wealth quintile","Highest","Female","Since age 15",28
"Age","15-19","Male","Since age 15",29
"Age","20-24","Male","Since age 15",27
"Age","25-29","Male","Since age 15",28
"Age","30-39","Male","Since age 15",25
"Age","40-49","Male","Since age 15",26
"Residence","Urban","Male","Since age 15",29
"Residence","Rural","Male","Since age 15",26
"Marital Status","Never married","Male","Since age 15",28
"Marital Status","Never ever had intimate partner","Male","Since age 15",30
"Marital Status","Ever had intimate partner","Male","Since age 15",26
"Marital Status","Ever married","Male","Since age 15",26
"Marital Status","Married/living together","Male","Since age 15",24
"Marital Status","Divorced/separated/widowed","Male","Since age 15",46
"Education","No education","Male","Since age 15",12
"Education","Primary","Male","Since age 15",26
"Education","Secondary","Male","Since age 15",29
"Education","More than secondary","Male","Since age 15",26
"Wealth quintile","Lowest","Male","Since age 15",23
"Wealth quintile","Second","Male","Since age 15",27
"Wealth quintile","Middle","Male","Since age 15",29
"Wealth quintile","Fourth","Male","Since age 15",27
"Wealth quintile","Highest","Male","Since age 15",28
"Age","15-19","Female","Often",1
"Age","20-24","Female","Often",3
"Age","25-29","Female","Often",4
"Age","30-39","Female","Often",5
"Age","40-49","Female","Often",4
"Residence","Urban","Female","Often",3
"Residence","Rural","Female","Often",4
"Marital Status","Never married","Female","Often",1
"Marital Status","Never ever had intimate partner","Female","Often",0.5
"Marital Status","Ever had intimate partner","Female","Often",1
"Marital Status","Ever married","Female","Often",5
"Marital Status","Married/living together","Female","Often",4
"Marital Status","Divorced/separated/widowed","Female","Often",8
"Education","No education","Female","Often",5
"Education","Primary","Female","Often",6
"Education","Secondary","Female","Often",3
"Education","More than secondary","Female","Often",1
"Wealth quintile","Lowest","Female","Often",5
"Wealth quintile","Second","Female","Often",4
"Wealth quintile","Middle","Female","Often",4
"Wealth quintile","Fourth","Female","Often",3
"Wealth quintile","Highest","Female","Often",2
"Age","15-19","Male","Often",2
"Age","20-24","Male","Often",1
"Age","25-29","Male","Often",1
"Age","30-39","Male","Often",1
"Age","40-49","Male","Often",1
"Residence","Urban","Male","Often",1
"Residence","Rural","Male","Often",1
"Marital Status","Never married","Male","Often",1
"Marital Status","Never ever had intimate partner","Male","Often",1
"Marital Status","Ever had intimate partner","Male","Often",1
"Marital Status","Ever married","Male","Often",1
"Marital Status","Married/living together","Male","Often",1
